ID;CLASS;DEPTH (M);RES A10;RES A20;RES A30;RES A60;RES A 90;SONIC P;SONIC S;GAMMA RAY;CALIPER;NEUTRON POROSITY;DENSITY (G/CM3);OIL SATURATION;calcite;dolomite ;quartz;k-feldspar;plagioclase;"illite ""type"" (1)";kaolinite;chlorite;pyrite
D11;CLAYSTONE;1005;0.68861;0.61178;0.60092;0.61271;0.6176;169.17287;434.88126;105;24.17351;0.2004;2.13761;0.01;0.0;0.0;18.7;0.0;11.7;37.1;10.0;15.6;6.9
D12;CLAYSTONE;1005.5;0.72976;0.62377;0.60507;0.58877;0.57929;169.17287;434.88126;105;24.17351;0.2004;2.13761;0.01;5.05;0;24.95;0.0;14.5;29.9;7.15;13.55;4.9
D13;CLAYSTONE;1006;0.77688;0.65361;0.63;0.61303;0.59859;169.17287;434.88126;105;24.17351;0.20039;2.14332;0.01;7.875;0.9;28.225;0.0;19.5;23.2;5.625;11.075;3.6
D14;CLAYSTONE;1006.5;0.82975;0.6819;0.65453;0.63533;0.61343;169.17287;434.88126;105;24.17351;0.20039;2.14883;0.01;5.8375;0.45;29.6625;0.0;16.95;25.4;6.5625;12.0375;3.1
D15;CLAYSTONE;1007;0.81589;0.71151;0.67585;0.64403;0.62099;169.17287;434.88126;105;24.17351;0.20039;2.15099;0.01;6.16875;0.225;28.53125;0.0;15.225;26.75;6.83125;11.86875;4.4
D16;CLAYSTONE;1007.5;0.87251;0.70373;0.66824;0.6343;0.60549;169.17287;434.88126;105;24.17351;0.20039;2.15141;0.01;3.084375;0.1125;23.615625;0.0;13.4625;31.925;8.415625;13.734375;5.65
D17;CLAYSTONE;1008;0.89114;0.69373;0.65762;0.62172;0.59077;169.17287;434.88126;105;24.17351;0.20039;2.15165;0.01;4.0671875;0.05625;24.2828125;0.0;13.98125;30.9125;7.7828125;13.6421875;5.275
D18;CLAYSTONE;1008.5;0.90884;0.68621;0.64824;0.61065;0.58028;169.17287;434.88126;105;24.17351;0.20038;2.1517;0.01;5.97109375;0.478125;26.25390625;0.0;16.740625;27.05625;6.70390625;12.35859375;4.4375
D19;CLAYSTONE;1009;0.93517;0.68304;0.64191;0.60355;0.57527;169.17287;434.88126;105;24.17351;0.20038;2.15168;0.01;5.904296875;0.4640625;27.95820313;0.0;16.8453125;26.228125;6.633203125;12.19804688;3.76875
D20;CLAYSTONE;1009.5;0.95336;0.68279;0.63814;0.59865;0.57605;169.17287;434.88126;105;24.17351;0.20038;2.15168;0.01;6.036523438;0.34453125;28.24472656;0.0;16.03515625;26.4890625;6.732226563;12.03339844;4.084375
D21;CLAYSTONE;1010;0.97974;0.68552;0.64001;0.5984;0.58114;169.17287;434.88126;105;24.17351;0.20038;2.15166;0.01;4.560449219;0.228515625;25.93017578;0.0;14.74882813;29.20703125;7.573925781;12.88388672;4.8671875
D22;CLAYSTONE;1010.5;1.00666;0.69112;0.64136;0.59929;0.58479;169.17287;434.88126;105;24.17351;0.20038;2.1516;0.01;4.313818359;0.142382813;25.10649414;0.0;14.36503906;30.05976563;7.678369141;13.26303711;5.07109375
D23;CLAYSTONE;1011;1.02141;0.69325;0.64289;0.60121;0.59012;169.17287;434.88126;105;24.17351;0.20037;2.15154;0.01;5.142456055;0.310253906;25.6802002;0.0;15.55283203;28.55800781;7.191137695;12.81081543;4.754296875
D24;CLAYSTONE;1011.5;1.02763;0.696;0.64425;0.60309;0.59459;169.17287;434.88126;105;24.17351;0.20037;2.15153;0.01;5.523376465;0.387158203;26.81920166;0.0;16.19907227;27.39306641;6.91217041;12.50443115;4.261523438
D25;CLAYSTONE;1012;1.03199;0.69791;0.64406;0.60593;0.59782;169.17287;434.88126;105;24.17351;0.20037;2.15148;0.01;5.779949951;0.365844727;27.53196411;0.0;16.11711426;26.94106445;6.822198486;12.26891479;4.172949219
D26;CLAYSTONE;1012.5;1.03365;0.69928;0.64427;0.60797;0.60073;169.17287;434.88126;105;24.17351;0.20037;2.15144;0.01;5.170199585;0.297180176;26.73106995;0.0;15.43297119;28.07404785;7.198062134;12.57640076;4.520068359
D27;CLAYSTONE;1013;1.03494;0.70086;0.64509;0.60917;0.60333;169.17287;434.88126;105;24.17351;0.20037;2.1514;0.01;4.742008972;0.219781494;25.91878204;0.0;14.89900513;29.06690674;7.438215637;12.91971893;4.795581055
D28;CLAYSTONE;1013.5;1.03529;0.70182;0.64525;0.60979;0.60481;169.17287;434.88126;105;24.17351;0.20037;2.15136;0.01;4.942232513;0.2650177;25.79949112;0.0;15.22591858;28.81245728;7.314676666;12.86526718;4.774938965
D29;CLAYSTONE;1014;1.0347;0.70198;0.64495;0.60984;0.60582;169.17287;434.88126;105;24.17351;0.20036;2.15133;0.01;5.232804489;0.326087952;26.30934639;0.0;15.71249542;28.10276184;7.113423538;12.68484917;4.518231201
D30;CLAYSTONE;1014.5;1.03437;0.70222;0.64514;0.60986;0.60657;168.43158;434.88126;105;24.17351;0.20036;2.1513;0.01;5.50637722;0.345966339;26.92065525;0.0;15.91480484;27.52191315;6.967811012;12.47688198;4.34559021
D31;CLAYSTONE;1015;1.03438;0.70272;0.64529;0.60993;0.60735;167.84077;434.88126;105;24.17351;0.20036;2.15127;0.01;5.338288403;0.321573257;26.8258626;0.0;15.67388802;27.7979805;7.082936573;12.52664137;4.432829285
